STATE,FIP,deaths,pop,fat_rate,Year
Hawaii,15,28,1292729,2.17,2005
Idaho,16,195,1428241,13.65,2005
Illinois,17,1019,12609903,8.08,2005
Indiana,18,705,6278616,11.23,2005
Iowa,19,201,2964454,6.78,2005
Kansas,20,257,2745299,9.36,2005
Kentucky,21,548,4182742,13.1,2005
Louisiana,22,858,4576628,18.75,2005
Maine,23,109,1318787,8.27,2005
Maryland,24,657,5592379,11.75,2005
Massachusetts,25,224,6403290,3.5,2005
Michigan,26,1074,10051137,10.69,2005
Minnesota,27,361,5119598,7.05,2005
Mississippi,28,455,2905943,15.66,2005
Missouri,29,752,5790300,12.99,2005
Montana,30,161,940102,17.13,2005
Nebraska,31,135,1761497,7.66,2005
Nevada,32,390,2432143,16.04,2005
New Hampshire,33,88,1298492,6.78,2005
New Jersey,34,434,8651974,5.02,2005
New Mexico,35,267,1932274,13.82,2005
New York,36,1019,19132610,5.33,2005
North Carolina,37,1119,8705407,12.85,2005
North Dakota,38,61,646089,9.44,2005
Ohio,39,1116,11463320,9.74,2005
Oklahoma,40,468,3548597,13.19,2005
Oregon,41,402,3613202,11.13,2005
Pennsylvania,42,1352,12449990,10.86,2005
Rhode Island,44,39,1067916,3.65,2005
South Carolina,45,589,4270150,13.79,2005
South Dakota,46,82,775493,10.57,2005
Tennessee,47,976,5991057,16.29,2005
Texas,48,2490,22778123,10.93,2005
Utah,49,227,2457719,9.24,2005
Vermont,50,44,621215,7.08,2005
Virginia,51,888,7577105,11.72,2005
Washington,53,567,6257305,9.06,2005
West Virginia,54,261,1820492,14.34,2005
Wisconsin,55,474,5546166,8.55,2005
Wyoming,56,71,514157,13.81,2005
Alabama,01,679,4530729,14.99,2004
Alaska,02,117,659286,17.75,2004
Arizona,04,897,5652404,15.87,2004
Arkansas,05,406,2749686,14.77,2004
California,06,3316,35574576,9.32,2004
Colorado,08,553,4575013,12.09,2004
Connecticut,09,173,3496094,4.95,2004
Delaware,10,75,830803,9.03,2004
District of Columbia,11,143,567754,25.19,2004
Florida,12,1890,17415318,10.85,2004
Georgia,13,1062,8769252,12.11,2004
Hawaii,15,41,1273569,3.22,2004
Idaho,16,177,1391802,12.72,2004
Illinois,17,994,12589773,7.9,2004
Indiana,18,639,6233007,10.25,2004
Iowa,19,195,2953635,6.6,2004
Kansas,20,294,2734373,10.75,2004
Kentucky,21,551,4146101,13.29,2004
Louisiana,22,902,4552238,19.81,2004
Maine,23,108,1313688,8.22,2004
Maryland,24,656,5546935,11.83,2004
Massachusetts,25,206,6412281,3.21,2004
Michigan,26,1048,10055315,10.42,2004
Minnesota,27,363,5087713,7.13,2004
Mississippi,28,471,2889010,16.3,2004
Missouri,29,664,5747741,11.55,2004
Montana,30,125,930009,13.44,2004
Nebraska,31,119,1749370,6.8,2004
Nevada,32,392,2346222,16.71,2004
New Hampshire,33,69,1290121,5.35,2004
New Jersey,34,454,8634561,5.26,2004
New Mexico,35,289,1903808,15.18,2004
New York,36,951,19171567,4.96,2004
North Carolina,37,1055,8553152,12.33,2004
North Dakota,38,50,644705,7.76,2004
Ohio,39,1036,11452251,9.05,2004
Oklahoma,40,457,3525233,12.96,2004
Oregon,41,385,3569463,10.79,2004
Pennsylvania,42,1270,12410722,10.23,2004
Rhode Island,44,41,1074579,3.82,2004
South Carolina,45,574,4210921,13.63,2004
South Dakota,46,77,770396,9.99,2004
Tennessee,47,869,5910809,14.7,2004
Texas,48,2342,22394023,10.46,2004
Utah,49,225,2401580,9.37,2004
Vermont,50,61,619920,9.84,2004
Virginia,51,817,7475575,10.93,2004
Washington,53,569,6178645,9.21,2004
West Virginia,54,253,1816438,13.93,2004
Wisconsin,55,413,5514026,7.49,2004
Wyoming,56,56,509106,11.0,2004
Alabama,01,765,4503491,16.99,2003
Alaska,02,120,648414,18.51,2003
Arizona,04,849,5510364,15.41,2003
Arkansas,05,413,2724816,15.16,2003
California,06,3468,35253159,9.84,2003
Colorado,08,501,4528732,11.06,2003
Connecticut,09,153,3484336,4.39,2003
Delaware,10,65,818003,7.95,2003
District of Columbia,11,167,568502,29.38,2003
Florida,12,1940,17004085,11.41,2003
Georgia,13,1173,8622793,13.6,2003
Hawaii,15,37,1251154,2.96,2003
Idaho,16,164,1363380,12.03,2003
Illinois,17,1146,12556006,9.13,2003
